콘텐츠명,판매채널콘텐츠ID,콘텐츠ID,판매채널명,콘텐츠형태,지급정산상태,승인상태,지급정산마스터ID,지급정산상세ID,통합계약ID,지급정산마스터_등록일자
전생에 천마였던 드래곤,903672,295600,리디북스(소설),소설,운영중,미승인,1094407,1087189,86247,2026-06-16T11:38:35
전생에 천마였던 드래곤,903682,295600,모픽(mofic),소설,운영중,미승인,1094406,1087188,86247,2026-06-16T11:38:35
전생에 천마였던 드래곤,906831,295600,문피아,소설,운영중,미승인,1094405,1087187,86247,2026-06-16T11:38:35
괴물 농사꾼,913320,328418,원스토어(소설),소설,운영중,미승인,1094403,1087185,86417,2026-06-16T10:42:57
케이스 오브 아이덴티티,913319,328417,원스토어(소설),소설,운영중,미승인,1094402,1087184,86416,2026-06-16T10:38:35
현주효영,913318,328416,원스토어(소설),소설,운영중,미승인,1094401,1087183,86415,2026-06-16T10:33:11
니어 앤 디어,913317,328415,원스토어(소설),소설,운영중,미승인,1094399,1087181,86413,2026-06-16T10:28:55
블랙 캐슬,913316,328414,원스토어(소설),소설,운영중,미승인,1094398,1087180,86412,2026-06-16T10:26:00
옴팡진 놈,913315,328413,원스토어(소설),소설,운영중,미승인,1094397,1087179,86411,2026-06-16T10:21:18
지옥파천황,913314,328412,원스토어(소설),소설,운영중,미승인,1094396,1087178,86410,2026-06-16T10:17:52
전혈야화,913313,328411,원스토어(소설),소설,운영중,미승인,1094395,1087177,86409,2026-06-16T10:12:28
형수,913312,328410,원스토어(소설),소설,운영중,미승인,1094394,1087176,86408,2026-06-16T10:09:08
음흉한 노인네,913311,328409,원스토어(소설),소설,운영중,미승인,1094393,1087175,86407,2026-06-16T10:05:34
공공장소에서 팬티 벗는 여자,913310,328408,원스토어(소설),소설,운영중,미승인,1094392,1087174,86406,2026-06-16T09:51:26
사장아들한테 당하다,913309,328407,원스토어(소설),소설,운영중,미승인,1094391,1087173,86405,2026-06-16T09:49:03
대물오빠한테 당하다,913308,328406,원스토어(소설),소설,운영중,미승인,1094390,1087172,86404,2026-06-16T09:46:55
흥분한 간호사 엎어놓고,913307,328405,원스토어(소설),소설,운영중,미승인,1094389,1087171,86403,2026-06-16T09:42:49
보험왕 토니 고든의 영업노트,913306,328404,원스토어(소설),소설,운영중,미승인,1094388,1087170,86402,2026-06-16T09:30:13
후궁부,913241,323691,원스토어(소설),소설,운영중,미승인,1094371,1087153,80848,2026-06-15T17:58:06
오늘 밤은 꽃이랑 주무셔요,904209,326459,원스토어(소설),소설,운영중,미승인,1094363,1087145,83903,2026-06-15T14:56:21
와이프는 절대고수,913239,322009,원스토어(소설),소설,운영중,미승인,1094362,1087144,79142,2026-06-15T14:54:32
뱀파이어와의 인터뷰,913238,322712,원스토어(소설),소설,운영중,미승인,1094360,1087142,79880,2026-06-15T14:53:33
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911167,328322,알라딘(소설)(1068659313),소설,운영중,미승인,1092169,1084952,86290,2026-06-09T13:28:43
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911166,328322,카카오페이지(소설),소설,운영중,미승인,1092168,1084951,86290,2026-06-09T13:28:43
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911165,328322,네이버_장르(광고수익),소설,운영중,미승인,1092167,1084950,86290,2026-06-09T13:28:43
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911164,328322,네이버_장르,소설,운영중,미승인,1092166,1084949,86290,2026-06-09T13:28:43
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911163,328322,네이버_일반,소설,운영중,미승인,1092165,1084948,86290,2026-06-09T13:28:43
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911162,328322,네이버_연재(광고수익),소설,운영중,미승인,1092164,1084947,86290,2026-06-09T13:28:43
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911161,328322,네이버_연재,소설,운영중,미승인,1092163,1084946,86290,2026-06-09T13:28:43
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911160,328322,Yes24(시프트북스),소설,운영중,미승인,1092162,1084945,86290,2026-06-09T13:28:43
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911159,328322,Yes24(서점),소설,운영중,미승인,1092161,1084944,86290,2026-06-09T13:28:43
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911158,328322,OPMS,소설,운영중,미승인,1092160,1084943,86290,2026-06-09T13:28:43
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911157,328322,EDITIO,소설,운영중,미승인,1092159,1084942,86290,2026-06-09T13:28:43
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911156,328322,한아름(P000003716),소설,운영중,미승인,1092158,1084941,86290,2026-06-09T13:28:43
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911155,328322,한국이퍼브,소설,운영중,미승인,1092157,1084940,86290,2026-06-09T13:28:43
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911154,328322,피플앤스토리 (P2P 웹소설 서비스),소설,운영중,미승인,1092156,1084939,86290,2026-06-09T13:28:43
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911153,328322,피너툰,소설,운영중,미승인,1092155,1084938,86290,2026-06-09T13:28:43
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911152,328322,포스타입,소설,운영중,미승인,1092154,1084937,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911151,328322,판무림,소설,운영중,미승인,1092153,1084936,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911150,328322,투믹스,소설,운영중,미승인,1092152,1084935,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911149,328322,토스(소설),소설,운영중,미승인,1092151,1084934,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911148,328322,탑툰,소설,운영중,미승인,1092150,1084933,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911147,328322,큐툰(소설 서비스),소설,운영중,미승인,1092149,1084932,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911146,328322,코미코(NHN comico),소설,운영중,미승인,1092148,1084931,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911145,328322,코미코(NHN comico Corp),소설,운영중,미승인,1092147,1084930,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911144,328322,코미코_일반결제,소설,운영중,미승인,1092146,1084929,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911143,328322,코미코_인앱결제,소설,운영중,미승인,1092145,1084928,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911142,328322,조아라(소설),소설,운영중,미승인,1092144,1084927,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911141,328322,인터파크,소설,운영중,미승인,1092143,1084926,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911140,328322,유페이퍼,소설,운영중,미승인,1092142,1084925,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911139,328322,윌라(전자책),소설,운영중,미승인,1092141,1084924,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911138,328322,웹소설 하이북,소설,운영중,미승인,1092140,1084923,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911137,328322,원스토어(소설),소설,운영중,미승인,1092139,1084922,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911136,328322,올툰(소설),소설,운영중,미승인,1092138,1084921,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911135,328322,예원북스(북팔),소설,운영중,미승인,1092137,1084920,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911134,328322,엠유네트웍스,소설,운영중,미승인,1092136,1084919,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911133,328322,에피루스 이북클럽(B2C),소설,운영중,미승인,1092135,1084918,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911132,328322,에이블리(소설),소설,운영중,미승인,1092134,1084917,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911131,328322,쏘울픽쳐스,소설,운영중,미승인,1092133,1084916,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911130,328322,신영미디어,소설,운영중,미승인,1092132,1084915,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911129,328322,스토린랩(원스토어),소설,운영중,미승인,1092131,1084914,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911128,328322,스토리위즈,소설,운영중,미승인,1092130,1084913,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911127,328322,스타로,소설,운영중,미승인,1092129,1084912,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911126,328322,스낵북(알에스),소설,운영중,미승인,1092128,1084911,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911125,328322,블라이스_일반결제,소설,운영중,미승인,1092127,1084910,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911124,328322,블라이스_인앱결제,소설,운영중,미승인,1092126,1084909,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911123,328322,블라이스 셀렉트,소설,운영중,미승인,1092125,1084908,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911122,328322,북팔(소설),소설,운영중,미승인,1092124,1084907,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911121,328322,북큐브(소설),소설,운영중,미승인,1092123,1084906,86290,2026-06-09T13:28:42
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911120,328322,부커스,소설,운영중,미승인,1092122,1084905,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911119,328322,보인,소설,운영중,미승인,1092121,1084904,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911118,328322,버프툰_일반,소설,운영중,미승인,1092120,1084903,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911117,328322,버프툰_독점,소설,운영중,미승인,1092119,1084902,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911116,328322,밀리의 서재,소설,운영중,미승인,1092118,1084901,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911115,328322,미툰앤노벨,소설,운영중,미승인,1092117,1084900,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911114,328322,미스터블루(소설),소설,운영중,미승인,1092116,1084899,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911113,328322,미소설,소설,운영중,미승인,1092115,1084898,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911112,328322,문피아,소설,운영중,미승인,1092114,1084897,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911111,328322,무툰(소설 서비스),소설,운영중,미승인,1092113,1084896,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911110,328322,모픽(mofic),소설,운영중,미승인,1092112,1084895,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911109,328322,리디북스(소설),소설,운영중,미승인,1092111,1084894,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911108,328322,로망띠끄,소설,운영중,미승인,1092110,1084893,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911107,328322,레드아이스,소설,운영중,미승인,1092109,1084892,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911106,328322,라프텔,소설,운영중,미승인,1092108,1084891,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911105,328322,누온,소설,운영중,미승인,1092107,1084890,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911104,328322,노벨피아 (소설),소설,운영중,미승인,1092106,1084889,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911103,328322,구루컴퍼니,소설,운영중,미승인,1092105,1084888,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911102,328322,교보문고(톡소다),소설,운영중,미승인,1092104,1084887,86290,2026-06-09T13:28:41
오르텐시아:버려진 황녀는 짐승을 길들인다(단행본),911101,328322,교보문고(소설),소설,운영중,미승인,1092103,1084886,86290,2026-06-09T13:28:41
스승님을 위한 완벽한 플랜(단행본),911100,328321,큐툰(소설 서비스),소설,운영중,미승인,1092102,1084885,86289,2026-06-09T13:23:41
스승님을 위한 완벽한 플랜(단행본),911099,328321,네이버_연재,소설,운영중,미승인,1092101,1084884,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911098,328321,Yes24(시프트북스),소설,운영중,미승인,1092100,1084883,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911097,328321,Yes24(서점),소설,운영중,미승인,1092099,1084882,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911096,328321,OPMS,소설,운영중,미승인,1092098,1084881,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911095,328321,EDITIO,소설,운영중,미승인,1092097,1084880,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911094,328321,한아름(P000003716),소설,운영중,미승인,1092096,1084879,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911093,328321,한국이퍼브,소설,운영중,미승인,1092095,1084878,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911092,328321,피플앤스토리 (P2P 웹소설 서비스),소설,운영중,미승인,1092094,1084877,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911091,328321,피너툰,소설,운영중,미승인,1092093,1084876,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911090,328321,포스타입,소설,운영중,미승인,1092092,1084875,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911089,328321,판무림,소설,운영중,미승인,1092091,1084874,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911088,328321,투믹스,소설,운영중,미승인,1092090,1084873,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911087,328321,토스(소설),소설,운영중,미승인,1092089,1084872,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911086,328321,탑툰,소설,운영중,미승인,1092088,1084871,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911085,328321,코미코(NHN comico),소설,운영중,미승인,1092087,1084870,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911084,328321,코미코(NHN comico Corp),소설,운영중,미승인,1092086,1084869,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911083,328321,코미코_일반결제,소설,운영중,미승인,1092085,1084868,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911082,328321,코미코_인앱결제,소설,운영중,미승인,1092084,1084867,86289,2026-06-09T13:23:40
스승님을 위한 완벽한 플랜(단행본),911081,328321,조아라(소설),소설,운영중,미승인,1092083,1084866,86289,2026-06-09T13:23:40
