sheet_row_number,S2 판매채널,S2 판매채널_원문,정제_상품명,정산서_대표콘텐츠명,S2_미매핑상세사유,담당자(없을 시 공란),비고,key_candidates,판정,권장_다음조치,S2_지급정산_exact_count,S2_지급정산_ID목록,S2_지급정산_콘텐츠명목록,S2_판매채널콘텐츠_exact_count,S2_판매채널콘텐츠_ID목록,S2_판매채널콘텐츠_콘텐츠명목록,S2_정산정보누락_count,S2_청구정산_count,S2_타채널지급정산_count,S2_타채널지급정산_채널목록,S2_타채널지급정산_ID목록,S2_타채널지급정산_콘텐츠명목록,S2_타채널판매채널콘텐츠_count,S2_타채널판매채널콘텐츠_채널목록,S2_타채널판매채널콘텐츠_ID목록,S2_타채널판매채널콘텐츠_콘텐츠명목록,S2_fuzzy_top
3501,원스토어(소설),,무유지,,같은채널 판매채널콘텐츠 있음 / 지급정산 없음,,"작가:와룡생, 출판사:홍익CNC",무유지,S2_판매채널콘텐츠만_존재,S2에는 판매채널콘텐츠가 있으나 지급정산 기준 없음. IPS/S2 정산 설정 확인,0,,,1,488201,[정산정보없음]_무유지,0,0,0,,,,3,교보문고(소설) | 미스터블루(소설) | 한아름(P000003716),163350 | 163351 | 488009,[정산정보없음]_무유지,
3505,원스토어(소설),,그들의사정,,S2/콘텐츠마스터 정제키 후보 없음,,"작가:김현, 출판사:Apbooks",그들의사정 | 그들만의사정,S2_지급정산_존재,정제/채널 필터 또는 기존 시트 반영 누락을 확인하고 생성 ID 입력 후보로 검토,1,895129,그들만의 사정,1,895129,그들만의 사정,0,0,1,리디북스(소설),891559,그들만의 사정,0,,,,
3507,원스토어(소설),,이젠누나라고부르지않을게,,S2/콘텐츠마스터 정제키 후보 없음,,"작가:안성서, 출판사:APBOOKS",이젠누나라고부르지않을게,S2_판매채널콘텐츠만_존재,S2에는 판매채널콘텐츠가 있으나 지급정산 기준 없음. IPS/S2 정산 설정 확인,0,,,1,904462,[정산정보없음]_이젠누나라고부르지않을게,0,0,0,,,,2,교보문고(소설) | 한아름(P000003716),904444 | 489165,[정산정보없음]_이젠누나라고부르지않을게,
3508,원스토어(소설),,누나친구들한테당하다,,S2/콘텐츠마스터 정제키 후보 없음,,"작가:이순, 출판사:APBOOKS",누나친구들한테당하다,정제규칙_검토필요,fuzzy 후보를 보고 제목 정제 alias 또는 특수 규칙 추가 여부 판단,0,,,0,,,0,0,0,,,,0,,,,0.833:원스토어(소설):누나친구들한테당하다_이순_1002897_일반:904463
3509,원스토어(소설),,성인용품점온새댁을,,S2/콘텐츠마스터 정제키 후보 없음,,"작가:정나미, 출판사:APBOOKS",성인용품점온새댁을,S2_부재_가능성,IPS live lookup 후 없으면 admin/account에서 거래처/저작권자 근거 확인,0,,,0,,,0,0,0,,,,0,,,,
3510,원스토어(소설),,팬티는안입어도좋습니다,,S2/콘텐츠마스터 정제키 후보 없음,,"작가:석진해, 출판사:밝은누리정보",팬티는안입어도좋습니다,S2_부재_가능성,IPS live lookup 후 없으면 admin/account에서 거래처/저작권자 근거 확인,0,,,0,,,0,0,0,,,,0,,,,
3514,원스토어(소설),,사모님과마사지알바생,,같은채널 판매채널콘텐츠 있음 / 지급정산 없음,,,사모님과마사지알바생,S2_판매채널콘텐츠만_존재,S2에는 판매채널콘텐츠가 있으나 지급정산 기준 없음. IPS/S2 정산 설정 확인,0,,,1,489463,[정산정보없음]_사모님과마사지알바생,0,0,0,,,,1,미스터블루(소설),163880,[정산정보없음]_사모님과마사지알바생,
3515,원스토어(소설),,욕정남녀,,S2/콘텐츠마스터 정제키 후보 없음,,"작가:다크스카이, 출판사:루비출판",욕정남녀,S2_부재_가능성,IPS live lookup 후 없으면 admin/account에서 거래처/저작권자 근거 확인,0,,,0,,,0,0,0,,,,0,,,,
3518,원스토어(소설),,이세계모험헬퍼,,해당채널 지급정산 없음 / 타채널 지급정산 존재,조원재,,이세계모험헬퍼,S2_타채널지급정산_존재,현재 S2 판매채널 지급정산은 없음. 타채널 ID를 입력하지 말고 현재 채널 정산 설정/계약 보강 여부 확인,0,,,0,,,0,0,5,리디북스(소설) | 미소설 | 미툰앤노벨 | 웹소설 하이북 | 교보문고(소설),895384 | 893838 | 893824 | 893823 | 873851,이세계 모험 헬퍼,0,,,,
3527,리디북스(소설),,불멸의새,,S2/콘텐츠마스터 정제키 후보 없음,,"작가: 이혜경, 출판사 : 러브홀릭",불멸의새,S2_지급정산_존재,정제/채널 필터 또는 기존 시트 반영 누락을 확인하고 생성 ID 입력 후보로 검토,1,904466,불멸의 새,0,,,0,0,1,교보문고(소설),904450,불멸의 새,2,교보문고(소설) | 원스토어(소설),904450 | 205018,불멸의 새,
3528,리디북스(소설),,포도청시하,,S2/콘텐츠마스터 정제키 후보 없음,,"작가: 이혜경, 출판사 : 러브홀릭",포도청시하 | 포도청시상하,S2_지급정산_존재,정제/채널 필터 또는 기존 시트 반영 누락을 확인하고 생성 ID 입력 후보로 검토,1,870859,포도청 25시 상/하,0,,,0,0,2,구글(소설) | 교보문고(소설),858491 | 843047,포도청 25시 상/하,2,교보문고(소설) | 구글(소설),843047 | 858491,포도청 25시 상/하,
3529,리디북스(소설),,상처,,S2/콘텐츠마스터 정제키 후보 없음,,"작가: 얼음꽃, 출판사 : 러브홀릭",상처,S2_타채널판매채널콘텐츠만_존재,타채널 판매채널콘텐츠만 있는 보조 증거. 현재 채널 지급정산 ID로 입력하지 않음,0,,,0,,,0,0,0,,,,1,네이버_연재,206887,상처,
3532,리디북스(소설),,베드인,,S2/콘텐츠마스터 정제키 후보 없음,,"작가: 김희선, 출판사 : 러브홀릭",베드인,S2_부재_가능성,IPS live lookup 후 없으면 admin/account에서 거래처/저작권자 근거 확인,0,,,0,,,0,0,0,,,,0,,,,
3534,리디북스(소설),,태양천자,,S2/콘텐츠마스터 정제키 후보 없음,,,태양천자,S2_타채널판매채널콘텐츠만_존재,타채널 판매채널콘텐츠만 있는 보조 증거. 현재 채널 지급정산 ID로 입력하지 않음,0,,,0,,,0,0,0,,,,8,구글(소설) | 네이버_장르 | 무툰(소설 서비스) | 미스터블루(소설) | 스토린랩(원스토어) | 판무림 | 웹소설 하이북 | 한아름(P000003716),116654 | 220158 | 220160 | 220161 | 220162 | 220165 | 220164 | 220166,[정산정보없음]_태양천자,
3535,리디북스(소설),,가연佳緣,,S2/콘텐츠마스터 정제키 후보 없음,,"작가: 갯개미취, 출판사 :러브홀릭",가연佳緣,S2_부재_가능성,IPS live lookup 후 없으면 admin/account에서 거래처/저작권자 근거 확인,0,,,0,,,0,0,0,,,,0,,,,
3536,리디북스(소설),,비오는길,,S2/콘텐츠마스터 정제키 후보 없음,,"작가: 최명익, 출판사 : 바로북",비오는길,S2_부재_가능성,IPS live lookup 후 없으면 admin/account에서 거래처/저작권자 근거 확인,0,,,0,,,0,0,0,,,,0,,,,
3537,리디북스(소설),,무성격자,,S2/콘텐츠마스터 정제키 후보 없음,,"작가: 최명익, 출판사 : 바로북",무성격자,S2_부재_가능성,IPS live lookup 후 없으면 admin/account에서 거래처/저작권자 근거 확인,0,,,0,,,0,0,0,,,,0,,,,
3538,리디북스(소설),,나비를잡는아버지,,S2/콘텐츠마스터 정제키 후보 없음,,"작가: 현덕, 출판사 : 바로북",나비를잡는아버지,S2_부재_가능성,IPS live lookup 후 없으면 admin/account에서 거래처/저작권자 근거 확인,0,,,0,,,0,0,0,,,,0,,,,
3541,리디북스(소설),,검(劍),,S2/콘텐츠마스터 정제키 후보 없음,,,검(劍) | 검,S2_타채널판매채널콘텐츠만_존재,타채널 판매채널콘텐츠만 있는 보조 증거. 현재 채널 지급정산 ID로 입력하지 않음,0,,,0,,,0,0,0,,,,7,구글(소설) | 무툰(소설 서비스) | 미스터블루(소설) | 스토린랩(원스토어) | 판무림 | 웹소설 하이북 | 한아름(P000003716),111891 | 190905 | 190906 | 190908 | 190911 | 190910 | 190912,[정산정보없음]_검(劍),
3544,토스(소설),,핵무기도만들어드릴까요,핵무기도 만들어 드릴까요?,해당 판매채널 지급정산 생성/보강 여부 판단,조원재,,핵무기도만들어드릴까요 | 핵무기도 만들어 드릴까요?,S2_타채널지급정산_존재,현재 S2 판매채널 지급정산은 없음. 타채널 ID를 입력하지 말고 현재 채널 정산 설정/계약 보강 여부 확인,0,,,0,,,0,0,17,네이버_장르 | 네이버_연재 | 한아름(P000003716) | 조아라(소설) | 원스토어(소설) | 에이블리(소설) | 부커스 | 미스터블루(소설),903799 | 903775 | 903773 | 903763 | 903728 | 903724 | 903713 | 903706,핵무기도 만들어 드릴까요,0,,,,
