work_cid,pymtSetlId,pymtSetlDtlId,cntrId,pymtStd,schnNm,bcncNm,rsSetlMthCd,rsSetlRt,pymtCrcy,pymtExchrDtCd,srcCrcy,srcExchrDtCd,setlCrcy,setlExchrDtCd,adpycTyCd,adpycPymtTyCd,mgCntrAmt,adpycPymtAmt,rsMgStoffTrgYn,rsSetlBnusCoinYn,webCoinSetlRt,appCoinSetlRt
295590,772671,772671,0,지급,원스토어(소설),(주)문피아,001,0.0,KRW,999,KRW,999,KRW,999,001,001,0.0,0.0,N,N,0,0
295590,774890,774890,0,지급,카카오페이지(선투자),주식회사 북메이커,001,70.0,KRW,999,KRW,999,KRW,999,001,001,0.0,0.0,N,N,0,0
295590,774892,774892,0,지급,네이버_연재(광고수익),주식회사 북메이커,001,70.0,KRW,999,KRW,999,KRW,999,001,001,0.0,0.0,N,N,0,0
295590,774895,774895,0,지급,네이버_연재,주식회사 북메이커,001,70.0,KRW,999,KRW,999,KRW,999,001,001,0.0,0.0,N,N,0,0
295590,771081,771081,0,지급,북팔(소설),주식회사 북메이커,001,70.0,KRW,999,KRW,999,KRW,999,001,001,0.0,0.0,N,N,0,0
295590,774889,774889,0,지급,판무림,주식회사 북메이커,001,70.0,KRW,999,KRW,999,KRW,999,001,001,0.0,0.0,N,N,0,0
295590,774898,774898,0,지급,무툰(소설 서비스),주식회사 북메이커,001,70.0,KRW,999,KRW,999,KRW,999,001,001,0.0,0.0,N,N,0,0
295590,774893,774893,0,지급,북큐브(소설),주식회사 북메이커,001,70.0,KRW,999,KRW,999,KRW,999,001,001,0.0,0.0,N,N,0,0
295590,774894,774894,0,지급,미소설,주식회사 북메이커,001,70.0,KRW,999,KRW,999,KRW,999,001,001,0.0,0.0,N,N,0,0
295590,774897,774897,0,지급,웹소설 하이북,주식회사 북메이커,001,70.0,KRW,999,KRW,999,KRW,999,001,001,0.0,0.0,N,N,0,0
295590,771080,771080,0,지급,문피아,주식회사 북메이커,001,70.0,KRW,999,KRW,999,KRW,999,001,001,0.0,0.0,N,N,0,0
295590,771082,771082,0,지급,리디북스(소설),주식회사 북메이커,001,70.0,KRW,999,KRW,999,KRW,999,001,001,0.0,0.0,N,N,0,0
